fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.6,0.31,0.37,0.8754687373538999,0.07138999608667294,12.0,96.0,0.9954,3.32,0.4574248470388754,9.2,5.0
8.8,0.66,0.26,0.9932517730102833,0.07138999608667294,4.0,23.0,0.9971,3.15,0.5538851132264376,9.2,5.0
6.6,0.52,0.04,1.1631508098056809,0.06672363204290818,8.0,15.0,0.9956,3.4,0.48858001481867097,9.4,6.0
6.6,0.5,0.04,1.1314021114911006,0.0657877405380031,6.0,14.0,0.9955,3.39,0.49469624183610705,9.4,6.0
8.6,0.38,0.36,1.3862943611198906,0.07788653865707122,30.0,119.0,0.997,3.2,0.44468582126144574,9.4,5.0
7.6,0.51,0.15,1.33500106673234,0.10436001532424277,33.0,73.0,0.9955,3.17,0.48858001481867097,10.2,6.0
7.7,0.62,0.04,1.536867219599265,0.08065790301745447,25.0,45.0,0.9978,3.34,0.4252677354043441,9.5,5.0
10.2,0.42,0.57,1.4816045409242156,0.06765864847381481,4.0,10.0,0.9971,3.04,0.48858001481867097,9.6,5.0
7.5,0.63,0.12,1.536867219599265,0.10526051065749295,42.0,110.0,0.9983,3.26,0.5709795465857378,9.4,5.0
7.8,0.59,0.18,1.1939224684724346,0.07325046173959267,17.0,54.0,0.9975,3.43,0.4637340162321401,10.0,5.0
7.3,0.39,0.31,1.2237754316221157,0.07138999608667294,9.0,46.0,0.9962,3.41,0.43178241642553783,9.4,6.0
8.8,0.4,0.4,1.1631508098056809,0.0760346862759976,19.0,52.0,0.998,3.44,0.49469624183610705,9.2,5.0
7.7,0.69,0.49,1.0296194171811583,0.10885440491208209,20.0,112.0,0.9968,3.21,0.5364933705145685,9.3,5.0
7.5,0.52,0.16,1.0647107369924282,0.08157998699242287,12.0,35.0,0.9968,3.38,0.4824261492442927,9.5,7.0
7.0,0.735,0.05,1.0986122886681098,0.07788653865707122,13.0,54.0,0.9966,3.39,0.4510756193602167,9.8,5.0
7.2,0.725,0.05,1.536867219599265,0.08250122151174369,4.0,11.0,0.9962,3.41,0.3293037471426004,10.9,5.0
7.2,0.725,0.05,1.536867219599265,0.08250122151174369,4.0,11.0,0.9962,3.41,0.3293037471426004,10.9,5.0
7.5,0.52,0.11,0.9162907318741551,0.0760346862759976,11.0,39.0,0.9968,3.42,0.4574248470388754,9.6,5.0
6.6,0.705,0.07,0.9555114450274363,0.07325046173959267,6.0,15.0,0.9962,3.44,0.4574248470388754,10.7,5.0
9.3,0.32,0.57,1.0986122886681098,0.07138999608667294,27.0,65.0,0.9969,3.28,0.5822156198526637,10.7,5.0
8.0,0.705,0.05,1.0647107369924282,0.07138999608667294,8.0,19.0,0.9962,3.34,0.6678293725756554,10.5,6.0
7.7,0.63,0.08,1.0647107369924282,0.07325046173959267,15.0,27.0,0.9967,3.32,0.43178241642553783,9.5,6.0
7.7,0.67,0.23,1.1314021114911006,0.08434114843375087,17.0,96.0,0.9962,3.32,0.3920420877760237,9.5,5.0
7.7,0.69,0.22,1.0647107369924282,0.08065790301745447,18.0,94.0,0.9961,3.31,0.3920420877760237,9.5,5.0
8.3,0.675,0.26,1.1314021114911006,0.08065790301745447,11.0,43.0,0.9976,3.31,0.4252677354043441,9.2,4.0
9.7,0.32,0.54,1.252762968495368,0.08984070399978947,28.0,83.0,0.9984,3.28,0.598836501088704,9.6,5.0
8.8,0.41,0.64,1.1631508098056809,0.08892620919440151,9.0,42.0,0.9986,3.54,0.5068176023684519,10.5,5.0
8.8,0.41,0.64,1.1631508098056809,0.08892620919440151,9.0,42.0,0.9986,3.54,0.5068176023684519,10.5,5.0
6.8,0.785,0.0,1.2237754316221157,0.09893994785490356,14.0,30.0,0.9966,3.52,0.4382549309311553,10.7,6.0
6.7,0.75,0.12,1.0986122886681098,0.08250122151174369,12.0,80.0,0.9958,3.38,0.41871033485818504,10.1,5.0
8.3,0.625,0.2,0.9162907318741551,0.07696104113612832,27.0,119.0,0.9972,3.16,0.6931471805599453,9.1,4.0
6.2,0.45,0.2,0.9555114450274363,0.06672363204290818,3.0,15.0,0.9958,3.41,0.44468582126144574,9.2,5.0
7.8,0.43,0.7,1.0647107369924282,0.11332868530700316,22.0,67.0,0.9974,3.13,0.6931471805599453,9.4,5.0
7.4,0.5,0.47,1.0986122886681098,0.08250122151174369,21.0,73.0,0.997,3.36,0.4510756193602167,9.1,5.0
7.3,0.67,0.26,1.0296194171811583,0.11332868530700316,16.0,51.0,0.9969,3.16,0.6931471805599453,9.4,5.0
6.3,0.3,0.48,1.0296194171811583,0.06672363204290818,18.0,61.0,0.9959,3.44,0.5766133643039938,10.3,6.0
6.9,0.55,0.15,1.1631508098056809,0.07325046173959267,19.0,40.0,0.9961,3.41,0.4637340162321401,10.1,5.0
8.6,0.49,0.28,1.0647107369924282,0.10436001532424277,20.0,122.0,0.9972,2.93,0.6931471805599453,9.9,6.0
7.7,0.49,0.26,1.0647107369924282,0.06015392281974709,9.0,31.0,0.9966,3.39,0.49469624183610705,9.6,5.0
9.3,0.39,0.44,1.1314021114911006,0.10165365372649983,34.0,122.0,0.9978,3.14,0.6931471805599453,9.5,5.0
7.0,0.62,0.08,1.0296194171811583,0.07325046173959267,8.0,24.0,0.9978,3.48,0.4252677354043441,9.0,5.0
7.9,0.52,0.26,1.0647107369924282,0.0760346862759976,42.0,122.0,0.9964,3.23,0.43178241642553783,9.5,5.0
8.6,0.49,0.28,1.0647107369924282,0.10436001532424277,20.0,122.0,0.9972,2.93,0.6931471805599453,9.9,6.0
8.6,0.49,0.29,1.0986122886681098,0.10436001532424277,19.0,122.0,0.9972,2.93,0.6931471805599453,9.8,5.0
7.7,0.49,0.26,1.0647107369924282,0.06015392281974709,9.0,31.0,0.9966,3.39,0.49469624183610705,9.6,5.0
5.0,1.0150000000000001,0.04,0.8754687373538999,0.04401688541677432,41.0,85.0,0.9938,3.6849999999999996,0.3920420877760237,10.5,4.0
4.7,0.6,0.17,1.1939224684724346,0.05638033343610764,17.0,106.0,0.9932,3.6849999999999996,0.4700036292457355,12.9,6.0
6.8,0.775,0.0,1.3862943611198906,0.09712671073072274,8.0,23.0,0.9965,3.45,0.44468582126144574,10.7,5.0
7.0,0.5,0.25,1.0986122886681098,0.06765864847381481,3.0,22.0,0.9963,3.25,0.48858001481867097,9.2,5.0
7.6,0.9,0.06,1.252762968495368,0.0760346862759976,5.0,10.0,0.9967,3.39,0.44468582126144574,9.8,5.0
8.1,0.545,0.18,1.0647107369924282,0.07696104113612832,13.0,35.0,0.9972,3.3,0.4637340162321401,9.0,6.0
8.3,0.61,0.3,1.1314021114911006,0.08065790301745447,11.0,50.0,0.9972,3.4,0.4762341789963716,10.2,6.0
7.8,0.5,0.3,1.0647107369924282,0.07232066157962612,8.0,22.0,0.9959,3.31,0.44468582126144574,10.4,6.0
8.1,0.545,0.18,1.0647107369924282,0.07696104113612832,13.0,35.0,0.9972,3.3,0.4637340162321401,9.0,6.0
8.1,0.575,0.22,1.1314021114911006,0.07417939817425151,12.0,65.0,0.9967,3.29,0.412109650826833,9.2,5.0
7.2,0.49,0.24,1.1631508098056809,0.06765864847381481,5.0,36.0,0.996,3.33,0.3920420877760237,9.4,5.0
8.1,0.575,0.22,1.1314021114911006,0.07417939817425151,12.0,65.0,0.9967,3.29,0.412109650826833,9.2,5.0
7.8,0.41,0.68,0.9932517730102833,0.11332868530700316,18.0,69.0,0.9973,3.08,0.6931471805599453,9.3,5.0
6.2,0.63,0.31,0.9932517730102833,0.08434114843375087,15.0,64.0,0.9969,3.46,0.5822156198526637,9.3,5.0
8.0,0.33,0.53,1.252762968495368,0.08709470685093376,18.0,80.0,0.9976,3.37,0.5877866649021191,9.6,6.0
8.1,0.785,0.52,1.0986122886681098,0.11332868530700316,37.0,122.0,0.9969,3.21,0.5247285289349821,9.3,5.0
7.8,0.56,0.19,1.0296194171811583,0.09893994785490356,12.0,47.0,0.9964,3.19,0.6575200029167942,9.5,5.0
8.4,0.62,0.09,1.1631508098056809,0.08065790301745447,11.0,108.0,0.9964,3.15,0.5068176023684519,9.8,5.0
8.4,0.6,0.1,1.1631508098056809,0.08157998699242287,14.0,111.0,0.9964,3.15,0.5068176023684519,9.8,5.0
10.1,0.31,0.44,1.1939224684724346,0.07696104113612832,22.0,46.0,0.9988,3.32,0.5128236264286637,9.7,6.0
7.8,0.56,0.19,1.0296194171811583,0.09893994785490356,12.0,47.0,0.9964,3.19,0.6575200029167942,9.5,5.0
9.4,0.4,0.31,1.1631508098056809,0.08617769624105233,13.0,62.0,0.9966,3.07,0.48858001481867097,10.5,6.0
8.3,0.54,0.28,1.0647107369924282,0.07417939817425151,11.0,40.0,0.9978,3.39,0.4762341789963716,10.0,6.0
7.8,0.56,0.12,1.0986122886681098,0.07881118042428978,7.0,28.0,0.997,3.37,0.4054651081081644,9.4,6.0
8.8,0.55,0.04,1.1631508098056809,0.11243542932978817,14.0,56.0,0.9962,3.21,0.4700036292457355,10.9,6.0
7.0,0.69,0.08,1.0296194171811583,0.0925791812930932,22.0,89.0,0.9959,3.34,0.43178241642553783,9.2,6.0
7.3,1.0150000000000001,0.09,0.9932517730102833,0.11332868530700316,10.0,89.0,0.9962,3.3,0.4510756193602167,9.0,5.0
8.8,0.55,0.04,1.1631508098056809,0.11243542932978817,14.0,56.0,0.9962,3.21,0.4700036292457355,10.9,6.0
7.3,0.695,0.0,1.252762968495368,0.07232066157962612,3.0,13.0,0.998,3.49,0.41871033485818504,9.2,5.0
8.0,0.71,0.0,1.2809338454620642,0.07696104113612832,11.0,34.0,0.9976,3.44,0.4252677354043441,9.5,5.0
7.8,0.5,0.17,0.9555114450274363,0.07881118042428978,21.0,102.0,0.996,3.39,0.3920420877760237,9.5,5.0
9.0,0.62,0.04,1.0647107369924282,0.11332868530700316,27.0,90.0,0.9984,3.16,0.5306282510621704,9.4,5.0
8.2,1.0150000000000001,0.0,0.9932517730102833,0.07788653865707122,3.0,12.0,0.9964,3.53,0.3987761199573678,10.9,5.0
8.1,1.0150000000000001,0.0,1.0296194171811583,0.07881118042428978,3.0,12.0,0.9964,3.54,0.3920420877760237,10.9,5.0
8.0,0.59,0.16,1.0296194171811583,0.06297479916138844,3.0,16.0,0.9962,3.42,0.6523251860396903,10.5,7.0
6.1,0.38,0.15,1.0296194171811583,0.06952606264861023,6.0,19.0,0.9955,3.42,0.4510756193602167,9.4,5.0
8.0,0.745,0.56,1.0986122886681098,0.11154137473290741,30.0,122.0,0.9968,3.24,0.5068176023684519,9.4,5.0
5.6,0.5,0.09,1.1939224684724346,0.04783732941416013,17.0,99.0,0.9937,3.63,0.48858001481867097,13.0,5.0
5.6,0.5,0.09,1.1939224684724346,0.04783732941416013,17.0,99.0,0.9937,3.63,0.48858001481867097,13.0,5.0
6.6,0.5,0.01,0.9162907318741551,0.058268908123975775,17.0,26.0,0.9952,3.4,0.4574248470388754,9.8,6.0
7.9,1.0150000000000001,0.05,1.1631508098056809,0.08065790301745447,13.0,29.0,0.9959,3.22,0.4382549309311553,9.9,6.0
8.4,0.745,0.11,1.0647107369924282,0.08617769624105233,16.0,63.0,0.9965,3.19,0.598836501088704,9.6,5.0
8.3,0.715,0.15,1.0296194171811583,0.08525984395082342,10.0,52.0,0.9968,3.23,0.5709795465857378,9.5,5.0
7.2,0.415,0.36,1.0986122886681098,0.07788653865707122,13.0,45.0,0.9972,3.48,0.49469624183610705,9.2,5.0
7.8,0.56,0.19,1.1314021114911006,0.07788653865707122,15.0,105.0,0.9962,3.33,0.43178241642553783,9.5,5.0
7.8,0.56,0.19,1.0986122886681098,0.07788653865707122,17.0,108.0,0.9962,3.32,0.43178241642553783,9.5,5.0
8.4,0.745,0.11,1.0647107369924282,0.08617769624105233,16.0,63.0,0.9965,3.19,0.598836501088704,9.6,5.0
8.3,0.715,0.15,1.0296194171811583,0.08525984395082342,10.0,52.0,0.9968,3.23,0.5709795465857378,9.5,5.0
5.2,0.34,0.0,1.0296194171811583,0.04879016416943201,27.0,63.0,0.9922475000000001,3.68,0.5822156198526637,13.5,6.0
6.3,0.39,0.08,0.9932517730102833,0.0639133257436528,3.0,20.0,0.9954,3.34,0.4574248470388754,9.4,5.0
5.2,0.34,0.0,1.0296194171811583,0.04879016416943201,27.0,63.0,0.9922475000000001,3.68,0.5822156198526637,13.5,6.0
8.1,0.67,0.55,1.0296194171811583,0.11064652008706366,32.0,122.0,0.9968,3.17,0.4824261492442927,9.4,5.0
5.8,0.68,0.02,1.0296194171811583,0.08342160813907239,21.0,94.0,0.9944,3.54,0.41871033485818504,10.0,5.0
7.6,0.49,0.26,0.9555114450274363,0.11332868530700316,10.0,88.0,0.9968,3.11,0.5877866649021191,9.3,5.0
6.9,0.49,0.1,1.1939224684724346,0.07138999608667294,12.0,30.0,0.9959,3.42,0.4574248470388754,10.2,6.0
8.2,0.4,0.44,1.33500106673234,0.08525984395082342,11.0,43.0,0.9975,3.53,0.4762341789963716,10.5,6.0
7.3,0.33,0.47,1.1314021114911006,0.07417939817425151,5.0,11.0,0.9958,3.33,0.4252677354043441,10.3,6.0
9.2,0.52,0.9149999999999999,1.4816045409242156,0.11332868530700316,32.0,69.0,0.9996,2.925,0.6931471805599453,9.4,4.0
7.5,0.6,0.03,1.0296194171811583,0.09075436326846414,25.0,99.0,0.995,3.35,0.43178241642553783,10.1,5.0
7.5,0.6,0.03,1.0296194171811583,0.09075436326846414,25.0,99.0,0.995,3.35,0.43178241642553783,10.1,5.0
7.1,0.43,0.42,1.536867219599265,0.06765864847381481,29.0,122.0,0.9973,3.42,0.5423242908253617,10.5,5.0
7.1,0.43,0.42,1.536867219599265,0.06859279146561172,28.0,122.0,0.9973,3.42,0.5364933705145685,10.5,5.0
7.1,0.43,0.42,1.536867219599265,0.06765864847381481,29.0,122.0,0.9973,3.42,0.5423242908253617,10.5,5.0
7.1,0.43,0.42,1.536867219599265,0.06859279146561172,28.0,122.0,0.9973,3.42,0.5364933705145685,10.5,5.0
7.1,0.68,0.0,1.1631508098056809,0.07045846364856141,12.0,22.0,0.9969,3.48,0.4054651081081644,9.3,5.0
6.8,0.6,0.18,1.0647107369924282,0.0760346862759976,18.0,86.0,0.9968,3.59,0.4510756193602167,9.3,6.0
7.6,0.95,0.03,1.0986122886681098,0.08617769624105233,7.0,20.0,0.9959,3.2,0.44468582126144574,9.6,5.0
7.6,0.68,0.02,0.832909122935104,0.06952606264861023,9.0,20.0,0.9965,3.17,0.6931471805599453,9.2,4.0
7.8,0.53,0.04,0.9932517730102833,0.07325046173959267,17.0,31.0,0.9964,3.33,0.44468582126144574,10.0,6.0
7.4,0.6,0.26,1.536867219599265,0.06765864847381481,36.0,121.0,0.9982,3.37,0.3987761199573678,9.4,5.0
7.3,0.59,0.26,1.536867219599265,0.06765864847381481,35.0,121.0,0.9981,3.37,0.3987761199573678,9.4,5.0
7.8,0.63,0.48,0.9932517730102833,0.09531017980432487,14.0,96.0,0.9961,3.19,0.4824261492442927,9.5,5.0
6.8,0.64,0.1,1.1314021114911006,0.08157998699242287,18.0,101.0,0.9956,3.34,0.41871033485818504,10.2,5.0
7.3,0.55,0.03,0.9555114450274363,0.06952606264861023,17.0,42.0,0.9956,3.37,0.3920420877760237,9.0,4.0
6.8,0.63,0.07,1.1314021114911006,0.08525984395082342,11.0,44.0,0.9953,3.47,0.4382549309311553,10.4,6.0
7.5,0.705,0.24,1.0296194171811583,0.11332868530700316,15.0,63.0,0.9964,3.0,0.6931471805599453,9.5,5.0
7.9,0.885,0.03,1.0296194171811583,0.05638033343610764,4.0,8.0,0.9972,3.36,0.2851789422336624,9.1,4.0
8.0,0.42,0.17,1.0986122886681098,0.07045846364856141,6.0,18.0,0.9972,3.29,0.4762341789963716,9.2,6.0
8.0,0.42,0.17,1.0986122886681098,0.07045846364856141,6.0,18.0,0.9972,3.29,0.4762341789963716,9.2,6.0
7.4,0.62,0.05,1.0647107369924282,0.0657877405380031,24.0,42.0,0.9961,3.42,0.4510756193602167,11.5,6.0
7.3,0.38,0.21,1.0986122886681098,0.07696104113612832,7.0,35.0,0.9961,3.33,0.3852624007906449,9.5,5.0
6.9,0.5,0.04,0.9162907318741551,0.08157998699242287,19.0,49.0,0.9958,3.35,0.5766133643039938,9.5,5.0
7.3,0.38,0.21,1.0986122886681098,0.07696104113612832,7.0,35.0,0.9961,3.33,0.3852624007906449,9.5,5.0
7.5,0.52,0.42,1.1939224684724346,0.08342160813907239,8.0,38.0,0.9972,3.58,0.4762341789963716,10.5,6.0
7.0,0.805,0.0,1.252762968495368,0.0657877405380031,7.0,20.0,0.9969,3.48,0.44468582126144574,9.6,5.0
8.8,0.61,0.14,1.2237754316221157,0.06485097231961631,10.0,42.0,0.9969,3.19,0.4637340162321401,9.5,5.0
8.8,0.61,0.14,1.2237754316221157,0.06485097231961631,10.0,42.0,0.9969,3.19,0.4637340162321401,9.5,5.0
8.9,0.61,0.49,1.0986122886681098,0.11332868530700316,23.0,110.0,0.9972,3.12,0.6931471805599453,9.3,5.0
7.2,0.73,0.02,1.252762968495368,0.07325046173959267,16.0,42.0,0.9972,3.44,0.41871033485818504,9.3,5.0
6.8,0.61,0.2,1.0296194171811583,0.07417939817425151,11.0,65.0,0.9971,3.54,0.4574248470388754,9.3,5.0
6.7,0.62,0.21,1.0647107369924282,0.0760346862759976,8.0,62.0,0.997,3.52,0.4574248470388754,9.3,6.0
8.9,0.31,0.57,1.0986122886681098,0.10526051065749295,26.0,85.0,0.9971,3.26,0.4252677354043441,9.7,5.0
7.4,0.39,0.48,1.0986122886681098,0.07881118042428978,14.0,67.0,0.9972,3.34,0.4382549309311553,9.2,5.0
7.7,0.705,0.1,1.2809338454620642,0.08065790301745447,9.0,26.0,0.9976,3.39,0.3987761199573678,9.7,5.0
7.9,0.5,0.33,1.0986122886681098,0.08065790301745447,15.0,122.0,0.9968,3.2,0.4382549309311553,9.5,5.0
7.9,0.49,0.32,1.0647107369924282,0.07881118042428978,17.0,122.0,0.9968,3.2,0.4382549309311553,9.5,5.0
8.2,0.5,0.35,1.3609765531356006,0.07417939817425151,21.0,122.0,0.9976,3.23,0.4824261492442927,9.4,5.0
6.4,0.37,0.25,1.0647107369924282,0.07138999608667294,21.0,49.0,0.9974,3.57,0.4824261492442927,9.8,6.0
6.8,0.63,0.12,1.536867219599265,0.09440067542148431,16.0,122.0,0.9969,3.28,0.4762341789963716,9.5,5.0
7.6,0.55,0.21,1.1631508098056809,0.06859279146561172,7.0,28.0,0.9964,3.28,0.4382549309311553,9.7,5.0
7.6,0.55,0.21,1.1631508098056809,0.06859279146561172,7.0,28.0,0.9964,3.28,0.4382549309311553,9.7,5.0
7.8,0.59,0.33,1.0986122886681098,0.07138999608667294,24.0,120.0,0.9968,3.25,0.43178241642553783,9.4,5.0
7.3,0.58,0.3,1.2237754316221157,0.07138999608667294,15.0,55.0,0.9968,3.46,0.4637340162321401,10.2,5.0
11.5,0.3,0.6,1.0986122886681098,0.06485097231961631,12.0,27.0,0.9981,3.11,0.6780335427498971,10.1,6.0
5.4,0.835,0.08,0.7884573603642702,0.044973365642731154,13.0,93.0,0.9924,3.57,0.6151856390902335,13.0,7.0
6.9,1.0150000000000001,0.06,1.1314021114911006,0.05921185963184608,12.0,31.0,0.9948,3.51,0.3576744442718159,11.4,4.0
9.6,0.32,0.47,0.8754687373538999,0.054488185284069734,9.0,24.0,0.99695,3.22,0.598836501088704,10.3,7.0
8.8,0.37,0.48,1.1314021114911006,0.0925791812930932,39.0,122.0,0.9975,3.04,0.6931471805599453,9.3,5.0
6.8,0.5,0.11,0.9162907318741551,0.07232066157962612,16.0,49.0,0.99545,3.36,0.5822156198526637,9.5,5.0
7.0,0.42,0.35,0.9555114450274363,0.08434114843375087,16.0,39.0,0.9961,3.34,0.4382549309311553,9.2,5.0
7.0,0.43,0.36,0.9555114450274363,0.08525984395082342,14.0,37.0,0.99615,3.34,0.44468582126144574,9.2,6.0
12.349999999999998,0.3,0.74,1.2809338454620642,0.09075436326846414,9.0,28.0,0.9994,3.2,0.5709795465857378,10.8,7.0
12.349999999999998,0.3,0.74,1.2809338454620642,0.09075436326846414,9.0,28.0,0.9994,3.2,0.5709795465857378,10.8,7.0
7.8,0.57,0.31,1.0296194171811583,0.06672363204290818,26.0,120.0,0.99625,3.29,0.4252677354043441,9.3,5.0
7.8,0.44,0.28,1.308332819650179,0.09531017980432487,18.0,95.0,0.9966,3.22,0.5128236264286637,9.4,5.0
11.0,0.3,0.58,1.1314021114911006,0.05259245011917058,7.0,19.0,0.998,3.31,0.6312717768418579,10.5,7.0
9.7,0.53,0.6,1.0986122886681098,0.039220713153281316,5.0,19.0,0.99585,3.3,0.6205764877251099,12.4,6.0
8.0,0.725,0.24,1.33500106673234,0.07973496801885356,10.0,62.0,0.99685,3.35,0.44468582126144574,10.0,6.0
11.6,0.44,0.64,1.1314021114911006,0.0573250666192694,5.0,15.0,0.998,3.21,0.5128236264286637,10.2,6.0
8.2,0.57,0.26,1.1631508098056809,0.058268908123975775,28.0,65.0,0.9959,3.3,0.3576744442718159,10.1,5.0
7.8,0.735,0.08,1.2237754316221157,0.0880108773227133,10.0,41.0,0.9974,3.24,0.5364933705145685,9.8,6.0
7.0,0.49,0.49,1.536867219599265,0.058268908123975775,26.0,121.0,0.9974,3.34,0.5653138090500605,10.5,5.0
